Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
SRR7722937_S1_L001_R1_001	14.4322178911	50.0	26.0	33939573.0	0.0
SRR7722937_S1_L001_R2_001	51.1747565338	47.0	98.0	33939573.0	18.1818181818
SRR7722938_S1_L001_R1_001	9.2216566422	50.0	26.0	48817696.0	0.0
SRR7722938_S1_L001_R2_001	51.7026130241	45.0	98.0	48817696.0	18.1818181818
SRR7722939_S1_L001_R1_001	52.5489412333	50.0	26.0	23095815.0	9.09090909091
SRR7722939_S1_L001_R2_001	55.4989008452	46.0	98.0	23095815.0	18.1818181818
SRR7722940_S1_L001_R1_001	61.3467679104	50.0	26.0	26302878.0	9.09090909091
SRR7722940_S1_L001_R2_001	65.2830946858	50.0	98.0	26302878.0	27.2727272727
SRR7722941_S1_L001_R1_001	19.3957282555	50.0	26.0	13271781.0	0.0
SRR7722941_S1_L001_R2_001	45.4406156797	47.0	98.0	13271781.0	9.09090909091
SRR7722942_S1_L001_R1_001	33.8870097578	50.0	26.0	24451006.0	0.0
SRR7722942_S1_L001_R2_001	57.9739881537	48.0	98.0	24451006.0	18.1818181818
